topicId,words..
1,town ship letter days left extract passengers inform free island
2,miles country river governor mr hundred distance time place water
3,arrived st captain colonel army enemy quebec brought regiment dated
4,mr meeting young members zealand report committee scotland power dr
5,mr company west lord north esq sir day gentleman place
6,colony south land persons wales cape government number good emigration
7,kingdom people made convicts port wild houses ladies lady life
8,king chief people natives crew vessel chiefs round captain man
9,country canada great society emigration labour upper settlement province parts
10,present house bill public effect hear system state plan give
11,general state received part long account small evening late expected
12,good make man find land time family nature things character
13,ditto june james john april duke william house church sept
14,america market price kingdom day ten great year acres england
15,great board place full people men england paper india accounts
16,indians men americans kingdom war killed fort inform native troops
17,states united years american colonies act population britain congress dollars
18,found view making situation important law peace measures proper object
19,made government subject public means years interest case information form
20,british trade vessels day great ships majesty place supply vessel
